locality_identifier,household_identifier,health_expenditures_base,age_hh,age_sp,educ_hh,educ_sp,hospital_base,health_expenditures_end,hospital_end,eligible,enrolled,treatment,poverty_index,female_hh,indigenous,hhsize,dirtfloor,bathroom,land,hospital_distance
2,1444,22.356386,59,57,3,3,,20.488291,,0,0,0,71.612572,0,0,5,0,1,3,77.66020817117493
2,1445,12.295638,51,50,0,2,,16.89912,,0,0,0,78.632149,0,0,9,0,1,0,77.66020817117493
2,1446,11.616502,35,35,7,6,0,15.092537,0,1,0,0,46.75425,0,0,7,1,0,0,77.66020817117493
2,1447,28.206749,59,41,2,2,,19.117266,,0,0,0,83.153015,1,0,3,0,1,3,77.66020817117493
2,1448,14.2468,39,36,4,3,0,16.53783,0,1,0,0,49.613602,0,0,6,1,0,1,77.66020817117493
2,1449,16.034571,29,41,4,2,,18.258423,,0,0,0,68.759659,0,0,7,1,0,3,77.66020817117493
2,1450,10.940237,44,38,3,3,0,15.941329,0,1,0,0,41.499226,0,0,9,0,0,0,77.66020817117493
2,1451,25.258831,50,41,2,2,,36.978085,,0,0,0,59.96909,0,0,3,1,0,0,77.66020817117493
2,1452,22.379202,24,25,6,6,,28.739489,,0,0,0,60.510048,0,0,3,0,1,0,77.66020817117493
2,1453,16.884897,27,27,2,4,0,26.07095,0,1,0,0,52.859352,0,0,4,1,1,0,77.66020817117493
2,1454,27.268986,76,72,0,0,,34.691013,,0,0,0,74.961357,0,0,2,0,1,3,77.66020817117493
2,1455,31.928885,73,41,0,2,,27.152811,,0,0,0,79.907265,0,0,1,0,1,0,77.66020817117493
2,1456,21.289104,58,50,3,3,,17.419176,,0,0,0,59.273571,0,0,4,1,0,2,77.66020817117493
2,1457,23.34552,48,47,4,1,,17.247663,,0,0,0,58.964451,0,0,4,0,1,0,77.66020817117493
2,1458,12.096014,63,50,2,2,0,15.874987,0,1,0,0,53.297272,0,0,8,1,0,3,77.66020817117493
2,1459,17.910816,51,48,1,2,,24.627863,,0,0,0,59.582691,0,0,7,0,1,3,77.66020817117493
2,1460,19.955276,60,59,3,3,0,25.835138,0,1,0,0,54.018547,0,0,4,1,1,0,77.66020817117493
2,1461,21.632566,23,28,5,6,,27.163034,,0,0,0,58.732613,0,0,2,1,0,0,77.66020817117493
2,1462,25.733686,66,41,1,2,0,14.504489,0,1,0,0,56.568779,0,0,4,0,1,2,77.66020817117493
2,1463,20.099714,84,49,0,0,,18.562801,,0,0,0,60.767643,0,0,4,1,0,0,77.66020817117493
2,1464,16.62199,60,56,0,0,0,31.423889,0,1,0,0,55.9119,0,0,5,1,0,0,77.66020817117493
2,1465,8.9404516,59,54,0,0,0,18.183651,0,1,0,0,57.109737,0,0,9,1,0,3,77.66020817117493
2,1466,11.362964,33,33,6,3,0,14.458423,1,1,0,0,49.149921,0,0,7,1,0,0,77.66020817117493
2,1467,19.105829,60,41,0,2,0,17.98785,0,1,0,0,57.650696,1,0,5,1,0,4,77.66020817117493
2,1468,17.303066,50,47,6,3,,21.76899,,0,0,0,83.230293,0,0,6,1,1,3,77.66020817117493
2,1469,21.101192,72,70,3,0,,24.831095,,0,0,0,63.369396,0,0,4,1,1,0,77.66020817117493
2,1470,15.310778,32,27,6,6,0,23.91312,0,1,0,0,51.545593,0,0,5,1,1,0,77.66020817117493
2,1471,19.8489,45,41,0,2,,22.730394,,0,0,0,70.788254,1,0,6,0,1,0,77.66020817117493
2,1472,17.587332,58,41,2,2,,19.810398,,0,0,0,60.870686,1,0,8,0,0,3,77.66020817117493
2,1473,19.488647,74,72,0,3,,25.13821,,0,0,0,75.270477,0,0,6,0,0,7,77.66020817117493
2,1474,17.473063,55,41,3,2,,9.6039019,,0,0,0,65.893867,1,0,8,0,0,3,77.66020817117493
2,1475,9.7714281,37,32,2,2,0,16.671524,0,1,0,0,55.332302,0,0,8,1,0,1,77.66020817117493
2,1476,19.771536,64,49,1,3,0,11.1897,0,1,0,0,55.87326,0,0,4,1,0,0,77.66020817117493
2,1477,19.914349,37,31,4,5,,18.20215,,0,0,0,61.437405,0,0,5,0,1,0,77.66020817117493
2,1478,21.557455,46,41,6,0,,18.492025,,0,0,0,73.080887,0,0,5,0,1,3,77.66020817117493
3,629,24.770971,59,36,0,0,,24.904139,,0,0,0,66.692429,0,0,3,0,1,3,143.2626784588167
3,630,20.048817,33,27,0,0,,27.500771,,0,0,0,60.819164,0,0,4,0,1,0,143.2626784588167
3,631,19.433985,53,51,0,3,,27.596415,,0,0,0,59.659969,0,0,4,1,0,0,143.2626784588167
3,635,15.560838,31,24,2,0,0,27.220711,0,1,1,1,50.30912,0,0,6,0,1,0,143.2626784588167
3,637,19.654963,23,22,3,6,,9.8270988,,0,0,0,59.96909,0,0,4,0,1,0,143.2626784588167
3,638,26.201765,78,73,0,0,,68.998741,,0,0,0,66.460587,0,0,2,0,0,1,143.2626784588167
3,639,12.741582,40,34,6,0,0,15.767348,0,1,1,1,48.145287,0,0,8,0,0,1,143.2626784588167
3,640,15.711618,25,19,6,0,0,3.5761473,0,1,1,1,53.400311,0,0,4,1,0,0,143.2626784588167
3,641,10.960824,39,38,3,3,0,2.1396525,0,1,1,1,55.216385,0,0,9,0,1,0,143.2626784588167
3,643,24.42388,63,41,0,2,,64.181229,,0,0,0,58.964451,1,0,4,0,1,0,143.2626784588167
3,644,12.313809,49,43,0,2,0,21.327421,0,1,1,1,49.959038,0,0,7,1,1,0,143.2626784588167
3,645,21.336985,46,45,0,0,,70.437042,,0,0,0,62.828438,0,0,3,1,1,0,143.2626784588167
3,646,26.904964,75,57,0,0,,50.37492,,0,0,0,68.3153,0,0,2,0,1,0,143.2626784588167
3,649,27.798218,72,41,0,2,,11.654838,,0,0,0,60.123646,1,0,1,1,0,0,143.2626784588167
3,650,9.5135984,39,36,0,0,0,7.6037321,0,1,1,1,44.899536,0,0,8,1,1,1,143.2626784588167
3,656,17.476686,34,30,3,3,0,65.533737,0,1,1,1,54.095825,0,0,4,1,0,0,143.2626784588167
3,657,16.255615,67,56,2,0,,13.247722,,0,0,0,59.659969,0,0,8,0,1,4,143.2626784588167
3,658,12.901211,27,28,6,6,0,1.3039963,0,1,1,1,53.09119,0,0,6,1,1,0,143.2626784588167
3,659,30.782644,45,41,2,2,,31.815769,,0,0,0,69.242661,1,0,1,0,1,0,143.2626784588167
3,666,16.117519,47,40,2,0,,26.907982,,0,0,0,60.432766,0,0,6,1,0,2,143.2626784588167
3,670,20.368025,38,36,14,15,,17.472429,,0,0,0,60.587326,0,0,7,0,0,3,143.2626784588167
3,975,6.5231543,42,45,3,0,0,6.239439,0,1,1,1,45.015457,0,1,9,1,1,2,154.6118868337259
3,978,13.002303,22,20,9,0,0,4.628767,1,1,1,1,48.222565,0,1,4,1,0,1,154.6118868337259
3,981,6.7213049,40,38,0,0,0,0,0,1,1,1,43.405716,0,1,8,1,0,1,154.6118868337259
3,983,18.266998,60,60,0,0,0,5.7710562,0,1,1,1,50.46368,0,1,3,1,0,1,154.6118868337259
3,1802,11.887717,40,40,1,0,0,6.7372799,0,1,1,1,38.871716,0,1,6,1,0,1,132.1117805208397
3,1803,15.253348,35,25,3,1,0,24.543556,0,1,1,1,53.09119,0,1,4,1,1,2,132.1117805208397
3,1804,16.242556,29,25,2,0,0,22.962353,0,1,1,1,54.636784,0,1,3,1,0,1,132.1117805208397
3,1808,12.292531,50,48,3,0,,11.912476,,0,0,0,59.119011,0,1,8,0,1,0,132.1117805208397
3,1810,22.326115,67,61,0,0,,20.557529,,0,0,0,64.837715,0,1,2,1,0,6,132.1117805208397
3,1811,12.271486,28,26,1,1,0,8.4849463,0,1,1,1,40.880989,0,1,5,1,1,0,132.1117805208397
3,1813,15.719206,30,28,0,0,0,18.140049,0,1,1,1,56.414219,0,1,3,1,1,0,132.1117805208397
3,1814,14.578736,75,50,0,0,0,55.361027,0,1,1,1,52.425812,0,1,5,1,1,0,132.1117805208397
3,1815,11.863871,29,24,9,3,0,41.547665,0,1,1,1,49.034004,0,1,5,1,0,0,132.1117805208397
3,1819,15.898046,30,25,0,0,0,21.969866,0,1,1,1,54.559505,0,1,4,0,0,1,132.1117805208397
3,1820,14.600241,36,37,0,0,,12.47226,,0,0,0,60.612831,0,0,7,0,0,1,132.1117805208397
3,1821,14.757722,27,25,4,0,1,7.1963453,0,1,1,1,48.222565,0,0,5,1,0,2,132.1117805208397
3,1822,14.778624,32,22,6,4,0,4.2230158,0,1,1,1,50.850079,0,1,5,0,0,1,132.1117805208397
3,1823,16.287569,60,40,1,0,0,2.9854109,0,1,1,1,50.618237,0,0,7,0,0,2,132.1117805208397
3,1829,10.668504,45,27,0,0,0,11.665011,0,1,1,1,54.945904,0,1,6,1,1,0,132.1117805208397
3,1830,11.132119,36,32,5,11,,13.976912,,0,0,0,68.62442,0,1,8,0,1,0,132.1117805208397
3,1831,12.350472,55,48,2,0,,17.478231,,0,0,0,64.103554,0,1,7,1,1,2,132.1117805208397
3,1832,10.064662,55,49,0,0,0,29.399021,0,1,1,1,48.956722,0,1,7,1,1,0,132.1117805208397
3,1833,9.4761057,32,32,3,0,0,7.2920046,0,1,1,1,44.358578,0,1,8,0,1,0,132.1117805208397
3,1834,8.0828018,65,62,0,0,0,4.8113718,0,1,1,1,57.006954,0,1,8,1,0,1,132.1117805208397
3,1835,11.917035,50,45,3,0,,17.827913,,0,0,0,69.551781,0,1,8,0,0,0,132.1117805208397
3,1836,6.2705011,54,48,0,0,0,5.2119627,0,1,1,1,55.428902,0,1,9,1,1,2,132.1117805208397
3,1837,18.630192,30,18,3,0,0,14.265637,0,1,1,1,57.341576,0,1,3,0,1,1,132.1117805208397
3,1838,12.881212,25,26,0,0,0,15.419505,0,1,1,1,51.015457,0,1,4,1,0,1,132.1117805208397
3,1840,6.263464,39,38,3,0,0,5.5676098,0,1,1,1,40.262753,0,1,9,1,1,3,132.1117805208397
3,1842,14.257018,58,47,0,0,0,4.5121918,0,1,1,1,48.493046,0,1,5,1,1,0,132.1117805208397
3,1843,10.643875,40,38,0,0,0,7.2810583,0,1,1,1,56.723339,0,1,6,1,0,0,132.1117805208397
3,1844,12.398364,40,36,4,0,0,8.0344858,0,1,1,1,57.418858,0,1,7,0,1,0,132.1117805208397
3,1845,8.2470007,55,55,0,0,0,5.1005945,0,1,1,1,52.511593,0,1,9,0,0,0,132.1117805208397
3,1846,8.5237484,41,35,0,0,0,1.3659194,0,1,1,1,43.431221,0,1,7,1,0,0,132.1117805208397
3,1849,12.506041,48,39,2,0,0,4.5424004,0,1,1,1,40.726429,0,1,6,1,1,0,132.1117805208397
3,1852,21.122072,45,41,0,0,,15.886074,,0,0,0,62.673878,0,1,3,0,1,0,132.1117805208397
3,1855,6.8451104,36,28,6,3,0,.4516241,0,1,1,1,41.499226,0,1,8,1,0,1,132.1117805208397
3,1856,17.656872,65,60,0,0,,25.076359,,0,0,0,59.428131,0,1,4,1,0,3,132.1117805208397
3,1857,12.956129,29,26,6,6,0,6.1711817,0,1,1,1,46.676971,0,1,6,0,0,2,132.1117805208397
3,1858,23.255884,72,55,1,0,,16.249882,,0,0,0,61.437405,0,1,3,0,0,2,132.1117805208397
3,1860,11.400365,40,39,6,0,0,3.4533083,0,1,1,1,47.06337,0,1,7,1,1,8,132.1117805208397
3,1861,12.427264,46,40,3,0,0,7.5139074,0,1,1,1,46.75425,0,1,6,1,1,0,132.1117805208397
3,1862,20.752817,54,41,0,2,0,8.496892,0,1,1,1,53.284389,0,1,3,1,0,1,132.1117805208397
3,1863,18.76092,32,28,3,2,,22.962551,,0,0,0,60.200928,0,1,4,0,1,2,132.1117805208397
3,1868,10.505362,48,36,2,0,0,4.6309681,1,1,1,1,43.353943,0,1,7,1,1,1,132.1117805208397
3,1869,7.6624513,31,31,0,0,0,4.1969595,0,1,1,1,46.058731,0,1,7,1,0,1,132.1117805208397
3,1871,18.862919,52,45,4,0,,17.973948,,0,0,0,67.269707,0,1,5,0,1,2,132.1117805208397
3,1875,15.747687,57,46,0,0,,10.304358,,0,0,0,59.46677,0,1,5,1,0,5,132.1117805208397
3,1879,12.513294,40,38,6,3,0,7.0172434,0,1,1,1,46.599689,0,1,6,1,1,3,132.1117805208397
3,1882,12.122857,46,40,1,6,0,6.0294313,0,1,1,1,46.676971,0,1,6,1,0,0,132.1117805208397
3,1883,15.753181,40,32,6,1,,14.190172,,0,0,0,68.701698,0,1,6,0,1,3,132.1117805208397
3,1884,14.531707,31,27,3,0,0,15.140174,0,1,1,1,52.086552,0,1,4,1,0,1,132.1117805208397
3,1885,10.596899,50,45,1,0,,13.776548,,0,0,0,60.915764,0,1,9,0,0,4,132.1117805208397
3,1888,11.781633,40,31,4,4,1,3.5504544,0,1,1,1,51.468315,0,1,6,1,1,1,132.1117805208397
3,1892,16.769476,24,22,6,4,,23.606752,,0,0,0,60.664604,0,1,3,1,1,1,132.1117805208397
3,1894,17.42502,60,41,0,2,,34.435219,,0,0,0,64.889488,1,1,5,1,1,2,132.1117805208397
3,1895,14.044978,40,38,3,0,0,5.3229437,0,1,1,1,51.479137,0,1,5,1,0,2,132.1117805208397
3,3809,16.862724,38,39,2,3,0,20.304497,0,1,1,1,42.117466,0,0,7,0,1,10,20.07262769174459
3,3810,13.774347,33,32,1,5,0,10.079505,0,1,1,1,43.894901,0,0,6,1,0,2,20.07262769174459
3,3816,21.538597,63,61,2,2,,24.881792,,0,0,0,58.693974,0,0,5,0,1,0,20.07262769174459
3,3817,7.3031807,42,39,3,4,0,3.1025431,0,1,1,1,39.721794,0,0,12,0,0,14,20.07262769174459
3,6816,20.01268,85,41,0,2,,19.97192,,0,0,0,71.222023,1,0,6,0,0,0,46.56752013683266
3,6817,12.286485,55,38,3,0,,17.735519,,0,0,0,59.350849,0,0,8,1,1,0,46.56752013683266
3,6819,17.796923,24,23,5,3,,17.069036,,0,0,0,60.510048,0,0,5,0,1,0,46.56752013683266
3,6822,21.682268,28,27,2,3,0,24.284256,0,1,1,1,57.882534,0,0,3,0,1,0,46.56752013683266
3,6823,26.968094,21,41,6,2,,28.492973,,0,0,0,71.483772,0,0,1,1,1,0,46.56752013683266
3,6824,12.601985,57,38,2,3,,31.655201,,0,0,0,69.938179,0,0,9,0,0,0,46.56752013683266
3,6825,11.912651,47,47,0,4,,16.9993,,0,0,0,67.078827,0,0,9,0,1,1,46.56752013683266
3,6826,23.723974,64,64,0,0,,28.145777,,0,0,0,62.75116,0,0,2,1,0,0,46.56752013683266
3,6827,15.953402,45,35,6,0,,28.874178,,0,0,0,59.814529,0,0,7,0,0,0,46.56752013683266
3,6830,19.653046,26,22,2,6,,63.291893,,0,0,0,68.469864,0,0,4,0,0,0,46.56752013683266
3,6831,11.920339,42,41,2,3,,20.248276,,0,0,0,63.176197,0,0,9,0,0,0,46.56752013683266
3,6833,26.446243,43,70,6,0,,82.735313,,0,0,0,69.242661,0,0,2,0,1,0,46.56752013683266
3,7459,24.013096,55,41,2,2,0,33.147118,0,1,1,1,53.24575,0,1,2,1,0,2,92.9615158497741
3,7465,13.858296,28,22,6,4,0,5.8228855,0,1,1,1,43.199383,0,1,4,1,0,1,92.9615158497741
3,7466,14.910073,46,48,2,0,0,.45813674,0,1,1,1,52.370171,0,1,5,1,0,3,92.9615158497741
3,7469,20.020844,39,57,0,0,,15.086695,,0,0,0,60.510048,0,1,2,1,0,0,92.9615158497741
3,7471,14.195861,31,25,2,0,0,0,0,1,1,1,43.817619,0,1,4,1,0,0,92.9615158497741
3,7472,10.553176,45,50,1,3,0,8.155757,1,1,1,1,55.312984,0,1,7,1,1,0,92.9615158497741
3,7473,13.479367,70,65,0,0,,13.678024,,0,0,0,60.181606,0,1,7,0,0,0,92.9615158497741
3,7475,16.800867,49,30,2,2,0,4.6931162,0,1,1,1,53.632149,0,1,5,0,0,2,92.9615158497741
3,7476,23.430332,56,53,2,1,,25.276041,,0,0,0,67.040184,0,1,3,0,1,3,92.9615158497741
3,7477,16.380552,47,40,0,0,0,7.3736525,0,1,1,1,52.163834,0,1,5,0,0,3,92.9615158497741
3,7478,25.162573,72,41,0,2,,28.946598,,0,0,0,67.465225,1,1,1,1,0,0,92.9615158497741
3,7479,17.551401,65,41,0,2,,32.739407,,0,0,0,65.707108,1,1,5,1,1,2,92.9615158497741
3,7481,26.374657,46,41,3,2,,24.294048,,0,0,0,66.151466,0,1,1,1,0,1,92.9615158497741
3,7482,20.185186,60,50,3,6,,11.914032,,0,0,0,65.340034,0,1,5,0,1,7,92.9615158497741
3,7483,19.056341,61,22,0,0,,8.3846655,,0,0,0,66.769707,0,1,4,0,0,4,92.9615158497741
3,7484,25.704533,63,41,0,2,0,31.301743,0,1,1,1,57.341576,0,1,2,0,0,1,92.9615158497741
3,7486,12.15565,41,33,1,6,0,2.7711098,0,1,1,1,50.46368,0,1,6,1,1,2,92.9615158497741
3,7487,13.483465,45,22,3,0,0,12.282731,0,1,1,1,51.468315,0,1,5,1,1,1,92.9615158497741
3,7488,8.9159918,50,47,2,0,0,12.353312,0,1,1,1,56.800617,0,1,8,1,1,1,92.9615158497741
3,7489,17.013994,74,46,1,3,,9.3512726,,0,0,0,58.268932,0,1,6,0,1,0,92.9615158497741
3,7490,13.338793,32,28,3,5,1,5.73456,0,1,1,1,49.149921,0,1,6,0,1,0,92.9615158497741
3,7491,14.506937,27,30,6,3,0,1.4130528,0,1,1,1,57.573418,0,1,4,1,1,0,92.9615158497741
3,7493,20.603266,45,45,2,1,0,10.853053,0,1,1,1,52.704792,0,1,2,1,0,1,92.9615158497741
3,7495,10.184542,55,41,2,2,0,5.785223,0,1,1,1,53.554867,0,1,10,0,0,2,92.9615158497741
3,7497,13.940139,25,25,6,6,0,13.618865,0,1,1,1,52.009274,0,1,4,1,1,0,92.9615158497741
3,7498,14.407281,38,38,5,4,0,2.3551571,0,1,1,1,53.400311,0,1,6,0,1,0,92.9615158497741
3,7499,16.605835,63,60,0,0,,16.744137,,0,0,0,71.136009,0,1,6,0,1,4,92.9615158497741
3,7500,21.566563,75,41,0,2,,23.952253,,0,0,0,64.142197,1,1,3,1,1,1,92.9615158497741
3,7731,18.410643,58,52,0,0,0,22.435484,0,1,1,1,57.032459,0,1,3,1,1,0,124.0098905128548
3,7732,23.824577,60,54,6,0,0,13.703425,0,1,1,1,57.496136,0,0,2,1,0,0,124.0098905128548
3,7735,18.01255,48,42,4,4,,18.197889,,0,0,0,61.707882,0,1,5,1,1,13,124.0098905128548
3,7736,16.765196,32,31,2,6,,19.132458,,0,0,0,58.384853,0,0,5,1,1,1,124.0098905128548
3,7738,17.94137,60,37,0,4,,18.781006,,0,0,0,62.957497,0,1,5,0,1,2,124.0098905128548
3,7739,16.934896,27,27,6,6,0,17.604919,0,1,1,1,57.109737,0,0,4,1,1,0,124.0098905128548
3,7740,9.8298006,38,34,6,4,0,6.9710951,0,1,1,1,50.618237,0,0,8,1,0,0,124.0098905128548
3,7747,21.348598,32,31,6,4,1,.87600631,1,1,1,1,55.023186,0,0,4,1,1,20,124.0098905128548
3,7749,18.530649,47,46,1,2,,16.021896,,0,0,0,59.828438,0,0,6,0,0,0,124.0098905128548
3,7750,17.565916,43,33,3,6,,14.389741,,0,0,0,59.737247,0,0,5,1,1,0,124.0098905128548
3,7752,13.511241,80,80,0,0,0,0,0,1,1,1,46.136013,0,1,5,1,1,0,124.0098905128548
3,7753,18.980597,50,48,0,0,,41.727787,,0,0,0,59.428131,0,1,3,1,1,0,124.0098905128548
3,7754,13.982874,35,26,0,5,0,0,0,1,1,1,56.027821,0,1,4,1,1,0,124.0098905128548
3,7755,18.785997,36,39,4,0,,13.693314,,0,0,0,58.500774,0,1,3,1,1,0,124.0098905128548
3,7756,22.256144,69,63,0,0,,21.661884,,0,0,0,60.973724,0,1,2,1,1,4,124.0098905128548
3,7757,19.854408,63,41,1,2,,20.365486,,0,0,0,60.973724,1,1,4,1,0,0,124.0098905128548
3,7758,13.698489,36,27,6,6,,31.566401,,0,0,0,59.853168,0,1,5,1,0,0,124.0098905128548
3,7763,21.35725,45,41,4,5,0,12.314303,0,1,1,1,55.409584,0,0,4,1,1,12,124.0098905128548
3,7764,17.786871,58,48,0,0,,21.365215,,0,0,0,78.258888,0,1,5,1,1,14,124.0098905128548
3,7765,28.110403,57,41,6,2,,35.299625,,0,0,0,75.888718,0,1,2,1,1,17,124.0098905128548
3,7770,15.951043,26,28,5,6,0,4.3363733,0,1,1,1,57.071098,0,0,5,1,1,6,124.0098905128548
3,7773,22.106712,61,64,2,1,,9.0438881,,0,0,0,62.828438,0,0,5,1,1,18,124.0098905128548
3,7774,17.461784,62,55,1,1,,10.773001,,0,0,0,62.210201,0,1,6,0,1,3,124.0098905128548
3,7775,17.484289,50,45,1,0,,12.309278,,0,0,0,63.214836,0,0,6,1,1,6,124.0098905128548
3,7776,14.326564,35,33,6,6,,16.000444,,0,0,0,59.389488,0,1,5,1,1,0,124.0098905128548
3,7777,14.212424,45,35,3,4,0,6.8645601,0,1,1,1,46.116692,0,0,7,1,1,8,124.0098905128548
3,7779,10.029217,37,41,3,2,0,5.9655685,0,1,1,1,53.941269,1,1,8,1,1,2,124.0098905128548
3,7781,8.0683546,43,38,2,2,0,0,0,1,1,1,53.168468,0,1,8,1,1,0,124.0098905128548
3,7782,14.203547,28,21,6,9,0,6.2416325,0,1,1,1,42.272026,0,0,5,1,0,0,124.0098905128548
3,7783,23.193089,65,57,0,0,,17.550848,,0,0,0,61.785164,0,1,3,1,1,20,124.0098905128548
3,7784,20.094532,35,27,6,6,1,17.772678,0,1,1,1,52.897991,0,0,3,1,1,2,124.0098905128548
3,7785,15.766097,38,23,6,9,0,9.3928404,0,1,1,1,56.646057,0,0,5,1,1,1,124.0098905128548
3,7787,20.683622,39,38,4,4,0,12.397483,1,1,1,1,57.727974,0,0,3,1,1,0,124.0098905128548
3,7788,11.882678,38,34,6,6,0,6.9305363,0,1,1,1,44.976814,0,0,7,1,0,0,124.0098905128548
3,7789,12.71016,37,35,6,0,0,0,0,1,1,1,47.21793,0,0,7,1,1,3,124.0098905128548
3,7792,20.953489,55,45,0,0,,12.174107,,0,0,0,79.675423,0,1,4,1,1,21,124.0098905128548
3,7794,15.268997,40,39,5,6,,13.967841,,0,0,0,61.437405,0,0,6,1,0,0,124.0098905128548
3,7795,16.757639,26,29,1,6,0,0,0,1,1,1,56.336941,0,1,3,1,1,2,124.0098905128548
3,7796,18.238934,47,43,2,2,,12.98124,,0,0,0,61.707882,0,0,5,1,1,0,124.0098905128548
3,7797,12.426205,32,28,6,6,0,6.0916805,0,1,1,1,33.230293,0,0,7,1,1,6,124.0098905128548
3,7798,9.7660456,49,48,0,0,0,0,0,1,1,1,44.744976,0,1,7,1,1,0,124.0098905128548
3,7800,13.389618,35,29,4,1,0,2.1837714,0,1,1,1,49.381763,0,0,6,1,0,0,124.0098905128548
3,7802,15.552683,36,25,6,6,0,6.2363167,0,1,1,1,42.040184,0,0,5,1,1,0,124.0098905128548
3,7803,15.00765,37,21,6,7,0,7.8543921,0,1,1,1,46.522411,0,0,5,1,0,0,124.0098905128548
3,7804,16.832441,30,26,6,5,0,9.7667055,0,1,1,1,54.018547,0,0,4,1,0,0,124.0098905128548
3,7805,7.5944629,40,33,3,0,0,25.206383,0,1,1,1,46.367851,0,1,8,1,1,0,124.0098905128548
3,7808,12.10998,40,42,3,6,0,13.014916,0,1,1,1,48.299847,0,1,6,1,1,0,124.0098905128548
3,7809,27.550255,76,41,2,2,,31.315741,,0,0,0,67.310661,0,1,1,1,1,1,124.0098905128548
3,7810,20.356792,38,36,6,8,,19.322208,,0,0,0,65.185471,0,0,5,0,1,2,124.0098905128548
3,7811,10.036761,35,33,6,5,0,8.2168856,0,1,1,1,54.173107,0,0,8,1,1,1,124.0098905128548
3,7812,12.346018,40,30,4,3,0,9.0318594,1,1,1,1,47.990726,0,0,7,1,0,3,124.0098905128548
3,10279,30.486324,64,41,2,2,,46.368664,,0,0,0,61.128284,0,0,1,1,0,5,67.72794258129804
3,10282,19.910231,30,27,6,6,,23.197905,,0,0,0,67.001549,0,0,3,1,0,0,67.72794258129804
